Arabic,English,Hebrew,Russian,French
لا,no,לא,нет,Non
من,from,מ,от,depuis
في,in,ב,в,dans
أن,that,זֶה,что,ce
هذا,this,זה,этот,ce
على,on,על,на,sur
ما,what,מה,что,Quoi
أنا,I,אני,я,je
هل,Do,האם,Делать,Faire
و,And,וכן,И,Et
يا,Hey,הו,Привет,Hé
ذلك,that,זה,что,ce
لقد,lhave,יש לי,У меня есть,j'ai
لم,did not,לא,не,n'a pas
ماذا,What,מה,Что,Quoi
كان,He was,היה,Он был,Il était
هنا,here,כאן,здесь,ici
إلى,to,ל,к,pour
أنت,You,אתה,Ты,Toi
هو,he,הוא,он,il
هذه,This is amazing,זה מדהים,Это потрясающе,Ceci est incroyable
عن,on,עַל,на,sur
نعم,Yes,כן,Да,Oui
ان,that,זֶה,что,ce
هناك,there,שם,там,là
كل,all,כל,все,Chaque
حسناً,Good,בסדר,Хороший,Bien
ليس,not,לֹא,нет,pas
كنت,I was,הייתי,Я был,J'étais
فقط,Just,רַק,Только,Juste
شيء,something,דבר,что-нибудь,quelque chose
الآن,now,עכשיו,сейчас,maintenant
مع,with,עם,с,avec
الذي,that,זֶה,что,ce
لكن,but,אבל,но,mais
أجل,Okay,בסדר,Хорошо,D'accord
لك,for you,בשבילך,для тебя,pour toi
يجب,He should,הוא צריך,Ему следует,Il devrait
لن,won't,רָגִיל,не будет,ne le fera pas
كيف,how,איך,как,comment
حسنا,Good,בסדר,Хороший,Bien
انا,I,אני,я,je
لي,for me,לי,для меня,pour moi
إنه,that it,שזה,это,que
سوف,will,רָצוֹן,воля,sera
نحن,we,אָנוּ,мы,nous
إذا,if,אם,если,si
كانت,She was,הייתה,Она была,Elle était
عندما,when,מתי,когда,quand
أي,any,איזה,любой,n'importe quel
قد,may be,אולי,может быть,peut être
لماذا,Why,למה,Почему,Pourquoi
هي,she,היא,она,elle
الأمر,Order,להזמין,Заказ,Commande
أنه,that it,שזה,это,que
فى,in,ב,в,dans
حتى,until,עד,до,jusqu'à
بعد,after,אחר,после,après
كذلك,like that,גם,как это,comme ça
أو,or,או,или,ou
ولكن,But,אבל,Но,Mais
قبل,before,לפני,до,avant
التي,that,אשר,что,ce
انه,that it,שזה,это,que
إنها,that it,היא,это,que
ـ,-,-,-,-
لو,if,לו,если,si
ربما,maybe,אולי,может быть,peut être
أين,where,איפה,где,où
هيا,Let's go,בוא נלך,Пойдем,Allons-y
تلك,That,זֶה,Что,Ce
أعرف,I know,אני יודע,Я знаю,Je sais
الى,to,ל,к,pour
إن,that,זֶה,что,ce
يكون,He is,יהיה,Он,Il est
بعض,some,כמה,некоторый,quelques
أريد,I want,אני רוצה,Я хочу,Je veux
أعتقد,I believe,אני מאמין,Я считаю,Je crois
انت,You,אתה,Ты,Toi
عليك,upon you,עליך,на вас,sur vous
مثل,like,כמו,нравиться,comme
صحيح,correct,נכון,правильный,correct
به,with it,עם זה,с этим,avec ça
أنك,You are,אתה,Ты,Tu es
الوقت,the time,הזמן,время,le temps
بخير,fine,בסדר,отлично,bien
أعلم,Know,לָדַעַת,Знать,Savoir
أحد,One,אחד,Один,Un
شخص,person,אדם,человек,personne
جداً,very,מאוד,очень,très
رجل,man,איש,мужчина,homme
شكراً,Thanks,תודה,Спасибо,Merci
لذا,So,כך,Так,Donc
يمكن,maybe,אולי,может быть,peut être
كما,as,כמו,как,comme
كلا,both,לא,оба,les deux
أكثر,more,יותר,более,plus
